degree,total_skills,ai_skills,web_skills,data_skills,cloud_skills,career_role,ctc
OTHER,23,9,6,4,1,Software Engineer,4.01
BSC,26,9,4,5,4,ML Engineer,6.92
BSC,27,9,4,9,0,Cloud Engineer,9.72
BTECH,26,1,4,5,6,Web Developer,4.39
MSC,18,2,9,3,0,Web Developer,7.52
BTECH,10,8,9,2,3,Software Engineer,3.11
MSC,10,6,2,3,8,ML Engineer,12.82
BSC,17,3,0,0,0,Web Developer,4.54
BTECH,23,9,4,3,3,Software Engineer,6.4
OTHER,26,4,8,0,5,Cloud Engineer,3.22
MTECH,12,1,0,0,5,Web Developer,8.19
MSC,6,7,2,9,7,Software Engineer,13.08
MTECH,25,3,3,5,0,Software Engineer,7.71
MTECH,5,8,0,4,6,Data Scientist,5.15
BTECH,19,4,0,3,0,Cloud Engineer,12.04
MTECH,5,8,7,2,6,Data Scientist,12.47
OTHER,9,3,1,0,2,ML Engineer,5.09
MTECH,20,9,7,5,7,Data Scientist,12.25
BTECH,23,4,6,1,2,Data Scientist,14.37
OTHER,8,8,9,7,0,Web Developer,5.0
BSC,7,7,9,9,7,Software Engineer,12.25
MTECH,21,2,1,4,2,Cloud Engineer,11.5
BTECH,21,0,5,6,1,Data Scientist,8.68
BSC,16,2,5,9,0,Cloud Engineer,3.7
BSC,18,3,2,1,2,Data Scientist,3.9
MSC,25,1,1,7,1,ML Engineer,13.23
OTHER,10,0,0,1,1,Data Scientist,14.88
MTECH,7,6,5,3,5,Web Developer,11.11
BTECH,13,7,4,0,0,Software Engineer,8.35
MSC,9,6,8,4,1,ML Engineer,10.77
OTHER,28,4,0,8,5,Data Scientist,10.13
MSC,21,0,6,0,2,Cloud Engineer,7.6
OTHER,18,6,4,8,3,ML Engineer,3.79
OTHER,25,6,4,7,0,ML Engineer,12.86
MTECH,7,8,1,5,7,Data Scientist,7.46
OTHER,5,2,2,6,6,ML Engineer,12.83
MSC,24,8,6,2,6,Cloud Engineer,6.03
OTHER,25,0,5,0,2,ML Engineer,3.01
MTECH,27,0,1,4,9,Cloud Engineer,4.91
MTECH,5,3,5,1,9,Data Scientist,8.62
MSC,7,8,1,4,2,Software Engineer,14.33
BSC,22,5,1,7,1,ML Engineer,4.23
BSC,29,2,1,8,0,Software Engineer,13.25
OTHER,14,0,2,1,6,Cloud Engineer,9.32
BTECH,26,3,1,2,6,ML Engineer,12.91
OTHER,7,8,3,2,1,Web Developer,6.58
MSC,12,2,8,0,6,Software Engineer,13.08
MSC,18,8,5,7,7,ML Engineer,12.27
MSC,28,6,0,5,0,Software Engineer,5.76
MSC,22,3,7,7,8,ML Engineer,4.58
MSC,19,2,6,8,6,Data Scientist,13.42
MTECH,26,9,9,4,2,Software Engineer,14.56
BSC,27,4,2,2,7,Web Developer,3.38
MSC,6,4,0,4,6,Web Developer,11.78
BTECH,14,2,4,4,7,Cloud Engineer,13.91
BTECH,6,8,3,4,5,ML Engineer,13.29
BTECH,21,3,9,2,8,Software Engineer,14.57
BTECH,12,4,7,9,4,Cloud Engineer,12.12
MTECH,5,3,0,3,2,Software Engineer,8.31
BTECH,13,4,9,8,2,ML Engineer,6.74
MSC,15,6,0,9,0,Web Developer,6.85
OTHER,26,8,3,8,7,Data Scientist,11.69
BTECH,20,6,7,1,1,Web Developer,11.95
MTECH,11,4,4,7,2,Cloud Engineer,5.4
MTECH,14,9,1,7,7,Data Scientist,13.42
BTECH,27,9,5,6,7,Cloud Engineer,11.58
OTHER,7,6,4,7,3,ML Engineer,9.75
BTECH,22,9,1,2,3,Data Scientist,8.66
MTECH,29,4,2,5,4,Cloud Engineer,9.52
BSC,28,2,8,0,5,ML Engineer,4.91
MSC,17,6,6,6,4,Web Developer,5.44
MTECH,11,1,6,0,6,ML Engineer,4.09
BTECH,29,8,5,8,1,Software Engineer,4.84
MSC,8,9,7,0,6,ML Engineer,8.44
BTECH,17,9,3,0,9,ML Engineer,9.36
BTECH,24,0,7,6,6,Software Engineer,3.21
BSC,5,5,3,1,0,Cloud Engineer,12.56
MSC,12,6,7,4,6,Cloud Engineer,6.53
MSC,18,7,8,7,4,ML Engineer,13.94
BSC,20,9,2,7,2,Software Engineer,14.61
MTECH,18,8,2,2,2,Software Engineer,5.23
BTECH,16,1,1,6,3,Web Developer,8.55
OTHER,23,9,9,2,1,Cloud Engineer,3.01
BTECH,27,1,2,5,1,Data Scientist,10.18
BTECH,19,4,2,5,0,Cloud Engineer,10.29
MTECH,6,4,4,2,4,Cloud Engineer,5.97
BTECH,6,5,4,6,3,Web Developer,9.7
BSC,27,2,1,2,9,Data Scientist,5.71
BSC,26,7,9,7,1,Web Developer,4.93
MSC,23,0,5,9,2,Data Scientist,10.82
OTHER,29,5,4,3,6,ML Engineer,6.91
BTECH,26,3,5,0,6,Data Scientist,10.08
BTECH,26,0,0,3,3,Web Developer,8.2
MTECH,21,6,4,6,4,Cloud Engineer,14.81
BSC,24,8,8,3,4,Data Scientist,4.79
OTHER,14,3,9,5,5,Data Scientist,8.58
MSC,10,3,1,8,8,Software Engineer,11.17
BSC,19,5,0,0,1,Cloud Engineer,7.75
MSC,26,2,9,4,4,ML Engineer,14.7
MTECH,15,5,8,6,2,Web Developer,11.66
MTECH,9,6,9,0,3,ML Engineer,10.88
BTECH,5,9,8,3,9,Cloud Engineer,12.08
OTHER,12,9,8,5,5,Data Scientist,14.43
MSC,25,2,5,1,7,Data Scientist,13.89
